datetime,hour,month,weekday,latitude,longitude,crime_category,raw_offense,city
2007-04-05 10:55:00,10,4,3,-1.0,-1.0,property,PROPERTY CRIME,Seattle
2007-04-08 06:00:00,6,4,6,47.55010247,-122.317754342644,violent,VIOLENT CRIME,Seattle
2007-04-30 14:22:00,14,4,0,47.67688556,-122.354358228544,other,ALL OTHER,Seattle
2007-04-30 15:33:00,15,4,0,47.52281564,-122.269987874277,other,ALL OTHER,Seattle
2007-05-05 00:00:00,0,5,5,-1.0,-1.0,other,ALL OTHER,Seattle
2007-05-05 19:10:00,19,5,5,-1.0,-1.0,property,PROPERTY CRIME,Seattle
2007-05-08 06:50:00,6,5,1,47.54602126,-122.283341103889,other,ALL OTHER,Seattle
2007-05-08 12:13:00,12,5,1,-1.0,-1.0,other,ALL OTHER,Seattle
2007-05-08 18:30:00,18,5,1,47.55827961,-122.3179594,other,ALL OTHER,Seattle
2007-05-19 16:12:00,16,5,5,-1.0,-1.0,other,ALL OTHER,Seattle
2007-05-23 00:00:00,0,5,2,-1.0,-1.0,other,ALL OTHER,Seattle
2007-06-04 10:45:00,10,6,0,47.5594902,-122.300851382286,other,ALL OTHER,Seattle
2007-06-04 10:45:00,10,6,0,47.5594902,-122.300851382286,other,ALL OTHER,Seattle
2007-06-06 16:16:00,16,6,2,47.62459539,-122.359974845899,violent,VIOLENT CRIME,Seattle
2007-06-15 17:05:00,17,6,4,47.70858578,-122.321918383222,violent,VIOLENT CRIME,Seattle
2007-06-21 14:53:00,14,6,3,47.70866306,-122.333993,other,ALL OTHER,Seattle
2007-06-23 23:21:00,23,6,5,47.54602663,-122.275988664589,violent,VIOLENT CRIME,Seattle
2007-06-23 23:21:00,23,6,5,47.54602663,-122.275988664589,other,ALL OTHER,Seattle
2007-06-25 14:45:00,14,6,0,47.578878,-122.283705,violent,VIOLENT CRIME,Seattle
2007-07-05 15:00:00,15,7,3,47.60951744,-122.338348306261,violent,VIOLENT CRIME,Seattle
2007-07-05 15:00:00,15,7,3,47.60951744,-122.338348306261,other,ALL OTHER,Seattle
2007-07-19 22:02:00,22,7,3,47.54158416,-122.272185904365,other,ALL OTHER,Seattle
2007-07-20 23:50:00,23,7,4,-1.0,-1.0,other,ALL OTHER,Seattle
2007-07-20 23:50:00,23,7,4,-1.0,-1.0,other,ALL OTHER,Seattle
2007-07-21 00:00:00,0,7,5,-1.0,-1.0,other,ALL OTHER,Seattle
2007-07-21 02:14:00,2,7,5,47.61740835,-122.3267933,violent,VIOLENT CRIME,Seattle
2007-07-24 14:39:00,14,7,1,47.61522807,-122.323944060562,violent,VIOLENT CRIME,Seattle
2007-07-26 23:06:00,23,7,3,47.55101312,-122.362999082183,violent,VIOLENT CRIME,Seattle
2007-08-17 19:44:00,19,8,4,47.60460902,-122.324652127808,violent,VIOLENT CRIME,Seattle
2007-08-18 15:57:00,15,8,5,47.65105323,-122.3528977,property,PROPERTY CRIME,Seattle
2007-09-04 04:16:00,4,9,1,47.60978174,-122.339358064368,violent,VIOLENT CRIME,Seattle
2007-09-08 22:59:00,22,9,5,47.68679907,-122.388152062494,violent,VIOLENT CRIME,Seattle
2007-09-09 11:37:00,11,9,6,-1.0,-1.0,other,ALL OTHER,Seattle
2007-09-13 22:28:00,22,9,3,47.66865139,-122.393683647188,violent,VIOLENT CRIME,Seattle
2007-09-14 22:07:00,22,9,4,-1.0,-1.0,other,ALL OTHER,Seattle
2007-09-15 01:15:00,1,9,5,-1.0,-1.0,other,ALL OTHER,Seattle
2007-09-15 01:15:00,1,9,5,-1.0,-1.0,other,ALL OTHER,Seattle
2007-09-15 01:15:00,1,9,5,-1.0,-1.0,other,ALL OTHER,Seattle
2007-09-15 01:15:00,1,9,5,-1.0,-1.0,other,ALL OTHER,Seattle
2007-09-15 01:15:00,1,9,5,-1.0,-1.0,other,ALL OTHER,Seattle
2007-09-15 03:26:00,3,9,5,47.6721403,-122.354383098937,violent,VIOLENT CRIME,Seattle
2007-09-23 01:34:00,1,9,6,-1.0,-1.0,other,ALL OTHER,Seattle
2007-09-26 09:34:00,9,9,2,-1.0,-1.0,other,ALL OTHER,Seattle
2007-09-26 14:53:00,14,9,2,47.61521875,-122.325528836819,other,ALL OTHER,Seattle
2007-09-28 06:19:00,6,9,4,47.57752585,-122.297522146945,other,ALL OTHER,Seattle
2007-09-30 00:00:00,0,9,6,-1.0,-1.0,other,ALL OTHER,Seattle
2007-10-08 06:04:00,6,10,0,-1.0,-1.0,property,PROPERTY CRIME,Seattle
2007-10-11 12:01:00,12,10,3,47.61347481,-122.290344549257,violent,VIOLENT CRIME,Seattle
2007-10-16 13:56:00,13,10,1,-1.0,-1.0,other,ALL OTHER,Seattle
2007-10-27 12:09:00,12,10,5,47.5850737,-122.329057996491,property,PROPERTY CRIME,Seattle
2007-11-03 13:13:00,13,11,5,-1.0,-1.0,other,ALL OTHER,Seattle
2007-11-05 14:31:00,14,11,0,47.59833443,-122.315317568202,property,PROPERTY CRIME,Seattle
2007-11-05 14:31:00,14,11,0,47.59833443,-122.315317568202,other,ALL OTHER,Seattle
2007-11-05 14:31:00,14,11,0,47.59833443,-122.315317568202,property,PROPERTY CRIME,Seattle
2007-11-05 14:48:00,14,11,0,47.52103664,-122.369349379919,property,PROPERTY CRIME,Seattle
2007-11-07 00:00:00,0,11,2,47.70023926,-122.324251500825,property,PROPERTY CRIME,Seattle
2007-11-09 15:00:00,15,11,4,47.57629106,-122.293607613223,other,ALL OTHER,Seattle
2007-11-10 00:09:00,0,11,5,-1.0,-1.0,property,PROPERTY CRIME,Seattle
2007-11-10 15:43:00,15,11,5,47.53997902,-122.295114699999,other,ALL OTHER,Seattle
2007-11-12 03:00:00,3,11,0,47.73285933,-122.2938204,violent,VIOLENT CRIME,Seattle
2007-11-13 08:04:00,8,11,1,47.61805515,-122.307391343057,property,PROPERTY CRIME,Seattle
2007-11-15 08:44:00,8,11,3,47.58878256,-122.329048253243,other,ALL OTHER,Seattle
2007-11-18 23:24:00,23,11,6,-1.0,-1.0,other,ALL OTHER,Seattle
2007-11-18 23:24:00,23,11,6,-1.0,-1.0,other,ALL OTHER,Seattle
