lat_bin,lon_bin,time_slot,month,total_count,dominant_category,pred,conf,ok,p_other,p_property,p_violent,risk
40.77,-111.87,2,4,11,other,other,0.9992552134938267,True,0.9992552134938267,0.0003723605220770323,0.0003724259840963924,55.2
40.77,-111.87,2,5,19,other,other,0.9992550486006303,True,0.9992550486006303,0.0003724753484850577,0.00037247605088473247,66.6
40.77,-111.87,2,6,15,other,other,0.9992550485166273,True,0.9992550485166273,0.00037247534845374534,0.00037247613491897134,61.6
40.77,-111.87,3,3,9,other,other,0.9992550475813506,True,0.9992550475813506,0.0003724790693083921,0.00037247334934086446,51.2
40.77,-111.87,3,4,5,property,property,0.9992550533762449,True,0.00037247382618306007,0.9992550533762449,0.00037247279757206345,39.8
40.77,-111.87,3,5,15,other,other,0.9992550514611469,True,0.9992550514611469,0.00037247536247855286,0.00037247317637452524,61.6
40.77,-111.87,3,6,11,property,property,0.9992580120308868,True,0.00036951407958365053,0.9992580120308868,0.0003724738895293972,55.2
40.77,-111.86,0,3,3,other,other,0.9992550479135098,True,0.9992550479135098,0.0003724787362383029,0.0003724733502519401,30.8
40.77,-111.86,0,4,5,violent,violent,0.9992683021207462,True,0.00039003909654332895,0.00034165878271037227,0.9992683021207462,39.8
40.77,-111.86,0,5,4,property,property,0.9992550537464304,True,0.000372473456129348,0.9992550537464304,0.00037247279744029484,35.8
40.77,-111.86,1,3,4,property,property,0.9992550586163848,True,0.00037247326564624167,0.9992550586163848,0.0003724681179691277,35.8
40.77,-111.86,1,4,7,property,property,0.9992550465369321,True,0.00037247446565729845,0.9992550465369321,0.0003724789974104388,46.2
40.77,-111.86,1,5,4,other,other,0.9992550479202293,True,0.9992550479202293,0.00037247872951614306,0.0003724733502544448,35.8
40.77,-111.86,1,6,6,property,property,0.999255055076991,True,0.0003724213924741561,0.999255055076991,0.00037252353053492636,43.2
40.77,-111.86,2,3,8,other,other,0.9992550476514189,True,0.9992550476514189,0.0003724790785881711,0.00037247326999294533,48.8
40.77,-111.86,2,4,4,other,other,0.9992550497046557,True,0.9992550497046557,0.0003724769444245894,0.00037247335091959157,35.8
40.77,-111.86,2,5,14,other,other,0.999255051330682,True,0.999255051330682,0.0003724753495026928,0.00037247331981539764,60.2
40.77,-111.86,2,6,6,other,other,0.9992064162976446,True,0.9992064162976446,0.000363208839008725,0.0004303748633466307,43.2
40.77,-111.86,3,3,9,property,property,0.9992550053944527,True,0.00037249329392225107,0.9992550053944527,0.0003725013116250569,51.2
40.77,-111.86,3,4,8,property,property,0.999255054848321,True,0.00037247160080271946,0.999255054848321,0.0003724735508763975,48.8
40.77,-111.86,3,5,12,property,property,0.999259391817712,True,0.00036925882287752986,0.999259391817712,0.0003713493594106047,57.0
40.77,-111.86,3,6,7,property,property,0.9992550058987176,True,0.0003725167257196086,0.9992550058987176,0.00037247737556270427,46.2
40.77,-111.85000000000001,0,4,5,violent,violent,0.9991232732300527,True,0.00044032548453122036,0.0004364012854161948,0.9991232732300527,39.8
40.77,-111.85000000000001,0,5,4,other,other,0.9992550479171808,True,0.9992550479171808,0.0003724787325659779,0.00037247335025330846,35.8
40.77,-111.85000000000001,1,5,5,other,other,0.9992550509725804,True,0.9992550509725804,0.0003724756760274258,0.0003724733513922118,39.8
40.77,-111.85000000000001,1,6,3,violent,violent,0.9992796133036143,True,0.0003801996313264552,0.00034018706505927127,0.9992796133036143,30.8
40.77,-111.85000000000001,2,3,3,other,other,0.9992550497009848,True,0.9992550497009848,0.00037247694809689673,0.00037247335091822325,30.8
40.77,-111.85000000000001,2,4,8,property,property,0.9987747598871829,True,0.0007342639356916097,0.9987747598871829,0.0004909761771255776,48.8
40.77,-111.85000000000001,2,5,4,property,property,0.9992550537464304,True,0.000372473456129348,0.9992550537464304,0.00037247279744029484,35.8
40.77,-111.85000000000001,2,6,3,other,other,0.9992550497009848,True,0.9992550497009848,0.00037247694809689673,0.00037247335091822325,30.8
40.77,-111.85000000000001,3,4,6,violent,violent,0.9992806188776316,True,0.0003801219789680806,0.0003392591434002197,0.9992806188776316,43.2
40.77,-111.85000000000001,3,5,4,other,other,0.9992550467584345,True,0.9992550467584345,0.00037248032705293536,0.0003724729145126974,35.8
40.77,-111.84,1,6,4,other,other,0.999255042498066,True,0.999255042498066,0.0003724803254648489,0.00037247717646918244,35.8
40.77,-111.84,2,3,3,other,other,0.9992532330911211,True,0.9992532330911211,0.0003716374936723696,0.00037512941520637284,30.8
40.77,-111.84,2,4,3,violent,violent,0.9992796085152152,True,0.0003801935086277181,0.0003401979761571179,0.9992796085152152,30.8
40.78,-112.03,1,4,5,other,other,0.9992550442469244,True,0.9992550442469244,0.0003724798957638835,0.0003724758573119182,39.8
40.78,-112.02,0,4,5,other,other,0.9992551071104919,True,0.9992551071104919,0.0003724229503954722,0.00037246993911265776,39.8
40.78,-112.02,1,4,5,other,other,0.999255048006086,True,0.999255048006086,0.00037247873880179885,0.000372473255112253,39.8
40.78,-112.02,2,4,6,violent,violent,0.9991807473135963,True,0.0004140472881769403,0.0004052053982267611,0.9991807473135963,43.2
40.78,-112.02,2,5,4,property,property,0.9992548935505454,True,0.0003724732041177944,0.9992548935505454,0.00037263324533686815,35.8
40.78,-112.01,2,3,4,property,property,0.9992550586163848,True,0.00037247326564624167,0.9992550586163848,0.0003724681179691277,35.8
40.78,-112.01,2,6,3,other,other,0.9992553945154302,True,0.9992553945154302,0.0003721347319778091,0.00037247075259200593,30.8
40.78,-112.01,3,3,4,property,property,0.9992550539603803,True,0.00037247324182983975,0.9992550539603803,0.00037247279778980025,35.8
40.78,-111.99000000000001,0,4,3,other,other,0.9992550479135098,True,0.9992550479135098,0.0003724787362383029,0.0003724733502519401,30.8
40.78,-111.99000000000001,0,5,3,property,property,0.9992550539603803,True,0.00037247324182983975,0.9992550539603803,0.00037247279778980025,30.8
40.78,-111.99000000000001,1,4,6,property,property,0.9992550974948512,True,0.0003724740970956955,0.9992550974948512,0.00037242840805308547,43.2
40.78,-111.99000000000001,1,5,8,property,property,0.9992549374802825,True,0.00037245038499599117,0.9992549374802825,0.0003726121347215604,48.8
40.78,-111.99000000000001,1,6,8,property,property,0.998589931761702,True,0.0008461046235073343,0.998589931761702,0.0005639636147907917,48.8
40.78,-111.99000000000001,2,3,6,property,property,0.999255053877381,True,0.0003724733251299244,0.999255053877381,0.00037247279748910676,43.2
40.78,-111.99000000000001,2,4,6,property,property,0.9992548935791232,True,0.0003724732041284468,0.9992548935791232,0.00037263321674842437,43.2
40.78,-111.99000000000001,2,5,4,other,other,0.9992550431058173,True,0.9992550431058173,0.00037248227963574185,0.0003724746145470162,35.8
40.78,-111.99000000000001,2,6,11,property,property,0.9992755762874048,True,0.0003517196835680031,0.9992755762874048,0.0003727040290270734,55.2
40.78,-111.99000000000001,3,4,7,other,other,0.9992550357168513,True,0.9992550357168513,0.0003724875960741405,0.00037247668707475224,46.2
40.78,-111.99000000000001,3,5,11,property,property,0.9991835011386511,True,0.00040872307916537445,0.9991835011386511,0.0004077757821833989,55.2
40.78,-111.99000000000001,3,6,9,property,property,0.9992551623529135,True,0.00037235994884464603,0.9992551623529135,0.00037247769824197354,51.2
40.78,-111.98,0,3,3,property,property,0.9992550539603803,True,0.00037247324182983975,0.9992550539603803,0.00037247279778980025,30.8
40.78,-111.98,0,4,8,other,other,0.9992551520162204,True,0.9992551520162204,0.0003723641396174678,0.00037248384416202756,48.8
40.78,-111.98,0,5,7,other,other,0.999255047580564,True,0.999255047580564,0.00037247906930809886,0.00037247335012783423,46.2
40.78,-111.98,0,6,7,other,other,0.9992550495257778,True,0.9992550495257778,0.00037247718613131085,0.00037247328809093214,46.2
40.78,-111.98,1,4,6,other,other,0.9992550479202293,True,0.9992550479202293,0.00037247872951614306,0.0003724733502544448,43.2
40.78,-111.98,1,5,3,violent,violent,0.9992796356450055,True,0.0003801772823293999,0.0003401870726650027,0.9992796356450055,30.8
40.78,-111.98,1,6,6,other,other,0.9992550479202293,True,0.9992550479202293,0.00037247872951614306,0.0003724733502544448,43.2
40.78,-111.98,2,4,6,property,property,0.9992555650131277,True,0.0003724734544061053,0.9992555650131277,0.00037196153246613897,43.2
40.78,-111.98,2,5,6,other,other,0.9992550479165584,True,0.9992550479165584,0.000372478733188468,0.00037247335025307644,43.2
40.78,-111.98,2,6,4,other,other,0.9992550509725804,True,0.9992550509725804,0.0003724756760274258,0.0003724733513922118,35.8
40.78,-111.98,3,3,3,other,other,0.9992550509725804,True,0.9992550509725804,0.0003724756760274258,0.0003724733513922118,30.8
40.78,-111.98,3,4,4,other,other,0.9992550479171808,True,0.9992550479171808,0.0003724787325659779,0.00037247335025330846,35.8
40.78,-111.98,3,5,4,other,other,0.9992550563549617,True,0.9992550563549617,0.0003724756780337265,0.0003724679670045947,35.8
40.78,-111.98,3,6,5,other,other,0.9992550479202293,True,0.9992550479202293,0.00037247872951614306,0.0003724733502544448,39.8
40.78,-111.95,1,4,3,property,property,0.9992551316175142,True,0.0003723955560190925,0.9992551316175142,0.00037247282646677847,30.8
40.78,-111.95,1,5,3,property,property,0.9992550537464304,True,0.000372473456129348,0.9992550537464304,0.00037247279744029484,30.8
40.78,-111.95,2,4,4,other,other,0.9992550479202293,True,0.9992550479202293,0.00037247872951614306,0.0003724733502544448,35.8
40.78,-111.95,3,4,5,other,other,0.9992550442469244,True,0.9992550442469244,0.0003724798957638835,0.0003724758573119182,39.8
40.78,-111.95,3,6,6,other,other,0.9992550480011176,True,0.9992550480011176,0.0003724787295462947,0.0003724732693360331,43.2
40.78,-111.94,0,3,5,property,property,0.9992550533762449,True,0.00037247382618306007,0.9992550533762449,0.00037247279757206345,39.8
