lat_bin,lon_bin,time_slot,total_count,dominant_category,dominance_gap,entropy,predicted_category,confidence_calibrated,correct,proba_other,proba_property,proba_violent,risk_score,city,confidence_tier
40.54,-74.17,0,57,property,0.0,1.0198652142779299,other,0.8751,False,0.8751,0.112,0.013,1.3,NYC,high
40.54,-74.17,1,51,other,0.3137254901960784,0.8902266931607339,other,0.865,True,0.865,0.1213,0.0136,1.4,NYC,high
40.54,-74.17,2,105,other,0.21904761904761905,0.9857140285822976,other,0.8734,True,0.8734,0.1134,0.0132,1.3,NYC,high
40.54,-74.17,3,85,other,0.17647058823529413,1.0643556082398478,other,0.8691,True,0.8691,0.1168,0.0141,1.4,NYC,high
40.54,-74.16,0,61,property,0.32786885245901637,0.907759754990046,other,0.8693,False,0.8693,0.1177,0.013,1.3,NYC,high
40.54,-74.16,1,59,property,0.03389830508474576,1.0442304847725408,property,0.6364,True,0.3494,0.6364,0.0142,1.4,NYC,medium
40.54,-74.16,2,133,property,0.06766917293233082,1.0095775150496784,other,0.52,False,0.52,0.4646,0.0154,1.5,NYC,uncertain
40.54,-74.16,3,95,property,0.11578947368421053,0.7737987604191647,other,0.8728,False,0.8728,0.1138,0.0133,1.3,NYC,high
40.54,-74.15,0,61,other,0.21311475409836064,0.9981895949324247,other,0.8767,True,0.8767,0.1104,0.0129,1.3,NYC,high
40.54,-74.15,1,106,other,0.009433962264150943,0.8505009138996293,other,0.8727,True,0.8727,0.1143,0.013,1.3,NYC,high
40.54,-74.15,2,186,other,0.08064516129032258,0.8499250118561807,other,0.8717,True,0.8717,0.1152,0.0131,1.3,NYC,high
40.54,-74.15,3,127,other,0.031496062992125984,0.951884913031636,other,0.8742,True,0.8742,0.1127,0.0131,1.3,NYC,high
40.54,-74.14,0,11,other,0.2727272727272727,0.9949236325717752,other,0.8712,True,0.8712,0.1155,0.0133,1.3,NYC,high
40.54,-74.14,1,23,other,0.391304347826087,0.6145033414194907,other,0.5377,True,0.5377,0.4462,0.0161,1.6,NYC,uncertain
40.54,-74.14,2,36,property,0.05555555555555555,1.0263306332944864,other,0.8723,False,0.8723,0.1146,0.0131,1.3,NYC,high
40.54,-74.14,3,39,other,0.15384615384615385,1.0579054247036734,other,0.8737,True,0.8737,0.113,0.0133,1.3,NYC,high
40.550000000000004,-74.23,0,8,other,0.125,0.9743147528693494,other,0.7206,True,0.7206,0.1839,0.0955,9.6,NYC,medium
40.550000000000004,-74.23,1,27,property,0.5185185185185185,0.8037121611029514,property,0.7464,True,0.2398,0.7464,0.0138,1.4,NYC,medium
40.550000000000004,-74.23,2,50,property,0.66,0.6784899938962452,property,0.6685,True,0.3167,0.6685,0.0148,1.5,NYC,medium
40.550000000000004,-74.23,3,9,property,0.4444444444444444,0.848685557726417,other,0.8425,False,0.8425,0.1425,0.015,1.5,NYC,high
40.550000000000004,-74.22,0,45,other,0.022222222222222223,0.8439025002771037,other,0.8699,True,0.8699,0.1162,0.0139,1.4,NYC,high
40.550000000000004,-74.22,1,56,other,0.03571428571428571,1.003498209993825,other,0.8664,True,0.8664,0.1202,0.0135,1.3,NYC,high
40.550000000000004,-74.22,2,86,other,0.13953488372093023,0.9891834810056157,other,0.8746,True,0.8746,0.1124,0.013,1.3,NYC,high
40.550000000000004,-74.22,3,85,other,0.49411764705882355,0.8397811133337177,other,0.8739,True,0.8739,0.1128,0.0133,1.3,NYC,high
40.550000000000004,-74.21000000000001,0,52,other,0.038461538461538464,0.9102160256476769,other,0.8744,True,0.8744,0.1125,0.0131,1.3,NYC,high
40.550000000000004,-74.21000000000001,1,43,other,0.11627906976744186,0.8419128373302764,other,0.8753,True,0.8753,0.1119,0.0128,1.3,NYC,high
40.550000000000004,-74.21000000000001,2,116,other,0.21551724137931033,0.9150798574119169,other,0.8695,True,0.8695,0.1169,0.0136,1.4,NYC,high
40.550000000000004,-74.21000000000001,3,89,other,0.24719101123595505,1.0241966307320114,other,0.8752,True,0.8752,0.1117,0.0131,1.3,NYC,high
40.550000000000004,-74.2,0,49,other,0.04081632653061224,0.951034018095671,other,0.8751,True,0.8751,0.1119,0.0131,1.3,NYC,high
40.550000000000004,-74.2,1,51,other,0.0392156862745098,0.9970666287645312,other,0.8749,True,0.8749,0.1121,0.013,1.3,NYC,high
40.550000000000004,-74.2,2,101,other,0.24752475247524752,0.9129789814944612,other,0.8751,True,0.8751,0.1119,0.013,1.3,NYC,high
40.550000000000004,-74.2,3,85,other,0.4235294117647059,0.9225235943285367,other,0.8741,True,0.8741,0.1126,0.0133,1.3,NYC,high
40.550000000000004,-74.19,0,66,property,0.015151515151515152,0.9968013094424948,other,0.8747,False,0.8747,0.1121,0.0132,1.3,NYC,high
40.550000000000004,-74.19,1,72,other,0.2361111111111111,0.8669271030191527,other,0.8703,True,0.8703,0.1163,0.0134,1.3,NYC,high
40.550000000000004,-74.19,2,133,other,0.11278195488721804,0.9700352951501658,other,0.8727,True,0.8727,0.1143,0.013,1.3,NYC,high
40.550000000000004,-74.19,3,104,other,0.20192307692307693,1.0508848898844487,other,0.8744,True,0.8744,0.1123,0.0132,1.3,NYC,high
40.550000000000004,-74.18,0,81,other,0.024691358024691357,1.022026027172151,other,0.874,True,0.874,0.1129,0.0131,1.3,NYC,high
40.550000000000004,-74.18,1,66,property,0.12121212121212122,1.0535084081118615,other,0.8467,False,0.8467,0.1396,0.0137,1.4,NYC,high
40.550000000000004,-74.18,2,79,other,0.25316455696202533,0.850565292661197,other,0.8723,True,0.8723,0.1147,0.013,1.3,NYC,high
40.550000000000004,-74.18,3,78,other,0.19230769230769232,1.005793244211868,other,0.8676,True,0.8676,0.1183,0.0141,1.4,NYC,high
40.550000000000004,-74.17,0,62,other,0.08064516129032258,1.0029425754646977,other,0.8739,True,0.8739,0.1131,0.013,1.3,NYC,high
40.550000000000004,-74.17,1,101,other,0.3465346534653465,0.8790307645886584,other,0.8693,True,0.8693,0.1177,0.013,1.3,NYC,high
40.550000000000004,-74.17,2,179,other,0.0670391061452514,0.9850118469672087,other,0.8711,True,0.8711,0.1156,0.0133,1.3,NYC,high
40.550000000000004,-74.17,3,122,other,0.26229508196721313,1.0089947004712816,other,0.8739,True,0.8739,0.1129,0.0132,1.3,NYC,high
40.550000000000004,-74.16,0,67,other,0.014925373134328358,1.060738768864264,other,0.8728,True,0.8728,0.1141,0.0131,1.3,NYC,high
40.550000000000004,-74.16,1,70,other,0.2571428571428571,0.7686410283686719,other,0.8642,True,0.8642,0.1226,0.0132,1.3,NYC,high
40.550000000000004,-74.16,2,122,other,0.07377049180327869,0.9554948061361687,other,0.8731,True,0.8731,0.1139,0.013,1.3,NYC,high
40.550000000000004,-74.16,3,113,other,0.26548672566371684,0.970158932517508,other,0.8733,True,0.8733,0.1136,0.0132,1.3,NYC,high
40.550000000000004,-74.15,0,55,other,0.10909090909090909,0.9282086430332135,other,0.8762,True,0.8762,0.1108,0.013,1.3,NYC,high
40.550000000000004,-74.15,1,106,other,0.41509433962264153,0.8118032546263221,other,0.8767,True,0.8767,0.1106,0.0127,1.3,NYC,high
40.550000000000004,-74.15,2,122,other,0.16393442622950818,0.9934378686445016,other,0.876,True,0.876,0.1113,0.0127,1.3,NYC,high
40.550000000000004,-74.15,3,111,other,0.3063063063063063,0.9400749860079277,other,0.8772,True,0.8772,0.11,0.0129,1.3,NYC,high
40.550000000000004,-74.14,0,49,property,0.0,0.9519619815813123,other,0.8749,False,0.8749,0.1121,0.013,1.3,NYC,high
40.550000000000004,-74.14,1,55,other,0.21818181818181817,0.8416235265656455,other,0.8645,True,0.8645,0.1218,0.0137,1.4,NYC,high
40.550000000000004,-74.14,2,115,property,0.034782608695652174,0.9127455748610545,other,0.8606,False,0.8606,0.1256,0.0137,1.4,NYC,high
40.550000000000004,-74.14,3,89,other,0.1348314606741573,1.0371456701060522,other,0.8767,True,0.8767,0.1106,0.0128,1.3,NYC,high
40.550000000000004,-74.13,0,10,property,0.4,0.9502705392332347,other,0.8706,False,0.8706,0.1157,0.0137,1.4,NYC,high
40.550000000000004,-74.13,1,11,other,0.5454545454545454,0.7595473914748635,other,0.8702,True,0.8702,0.1164,0.0134,1.3,NYC,high
40.550000000000004,-74.13,2,18,other,0.1111111111111111,0.6869615976336276,other,0.8638,True,0.8638,0.1217,0.0145,1.4,NYC,high
40.550000000000004,-74.13,3,16,other,0.5,0.5623351657797391,other,0.8721,True,0.8721,0.1144,0.0136,1.4,NYC,high
40.550000000000004,-74.12,2,5,property,0.2,0.6730116880595106,other,0.8674,False,0.8674,0.1188,0.0137,1.4,NYC,high
