lat_bin,lon_bin,time_slot,month,total_count,dominant_category,pred,conf,ok,p_other,p_property,p_violent,risk
42.27,-83.16,1,1,4,violent,violent,0.9995006315201551,True,0.00024968515145689095,0.00024968332838811965,0.9995006315201551,36.6
42.27,-83.16,1,2,3,violent,violent,0.9995006315201551,True,0.00024968515145689095,0.00024968332838811965,0.9995006315201551,31.5
42.27,-83.16,1,3,3,property,property,0.999500621129449,True,0.00024968916590157323,0.999500621129449,0.0002496897046495452,31.5
42.27,-83.16,1,4,3,property,property,0.999500621129449,True,0.00024968916590157323,0.999500621129449,0.0002496897046495452,31.5
42.27,-83.16,1,5,5,violent,violent,0.9995006323283762,True,0.0002496851516587926,0.0002496825199650931,0.9995006323283762,40.8
42.27,-83.16,1,7,3,property,property,0.999500621129449,True,0.00024968916590157323,0.999500621129449,0.0002496897046495452,31.5
42.27,-83.16,1,8,5,property,property,0.999500621129449,True,0.00024968916590157323,0.999500621129449,0.0002496897046495452,40.8
42.27,-83.16,1,10,9,property,property,0.9995006262185424,True,0.0002496891671728996,0.9995006262185424,0.0002496846142847222,52.4
42.27,-83.16,1,11,4,property,property,0.999500621129449,True,0.00024968916590157323,0.999500621129449,0.0002496897046495452,36.6
42.27,-83.16,1,12,7,property,property,0.999500621129449,True,0.00024968916590157323,0.999500621129449,0.0002496897046495452,47.3
42.27,-83.16,2,1,3,violent,violent,0.9989127500605717,True,0.0005389990416957848,0.0005482508977326095,0.9989127500605717,31.5
42.27,-83.16,2,2,11,property,property,0.9995006194972158,True,0.00024968916549381867,0.9995006194972158,0.0002496913372903097,56.5
42.27,-83.16,2,3,13,property,property,0.9995006194972158,True,0.00024968916549381867,0.9995006194972158,0.0002496913372903097,60.1
42.27,-83.16,2,4,9,property,property,0.999500621129449,True,0.00024968916590157323,0.999500621129449,0.0002496897046495452,52.4
42.27,-83.16,2,5,5,property,property,0.9995006211154207,True,0.00024968916589806876,0.9995006211154207,0.0002496897186812175,40.8
42.27,-83.16,2,6,14,property,property,0.9995006195007907,True,0.0002496891654947117,0.9995006195007907,0.0002496913337145252,61.6
42.27,-83.16,2,7,10,property,property,0.9995006194972158,True,0.00024968916549381867,0.9995006194972158,0.0002496913372903097,54.6
42.27,-83.16,2,8,12,violent,violent,0.414186579397142,True,0.2929030523738157,0.2929103682290422,0.414186579397142,24.2
42.27,-83.16,2,9,9,property,property,0.9995006194972158,True,0.00024968916549381867,0.9995006194972158,0.0002496913372903097,52.4
42.27,-83.16,2,10,5,property,property,0.999500621129449,True,0.00024968916590157323,0.999500621129449,0.0002496897046495452,40.8
42.27,-83.16,2,11,6,property,property,0.9995021499152321,True,0.0002489273368249973,0.9995021499152321,0.00024892274794304826,44.3
42.27,-83.16,2,12,11,property,property,0.999500621129449,True,0.00024968916590157323,0.999500621129449,0.0002496897046495452,56.5
42.27,-83.16,3,1,5,other,other,0.999501208675544,True,0.999501208675544,0.00024939519348344706,0.0002493961309725187,40.8
42.27,-83.16,3,2,4,violent,violent,0.41419129633179086,True,0.2929006936276899,0.2929080100405193,0.41419129633179086,15.2
42.27,-83.16,3,4,4,property,property,0.9994455420797225,True,0.00038003724005636385,0.9994455420797225,0.00017442068022120383,36.6
42.27,-83.16,3,5,3,violent,violent,0.9995006315201551,True,0.00024968515145689095,0.00024968332838811965,0.9995006315201551,31.5
42.27,-83.16,3,6,5,violent,violent,0.9984379418183994,True,0.000775614335164569,0.0007864438464360382,0.9984379418183994,40.7
42.27,-83.16,3,7,3,violent,violent,0.9995006315201551,True,0.00024968515145689095,0.00024968332838811965,0.9995006315201551,31.5
42.27,-83.16,3,8,13,property,property,0.9995006180313838,True,0.0002496891651276334,0.9995006180313838,0.00024969280348863655,60.1
42.27,-83.16,3,9,9,property,property,0.9995006194972158,True,0.00024968916549381867,0.9995006194972158,0.0002496913372903097,52.4
42.27,-83.16,3,10,5,property,property,0.9995006211154207,True,0.00024968916589806876,0.9995006211154207,0.0002496897186812175,40.8
42.27,-83.16,3,11,10,property,property,0.9995006160944037,True,0.0002496908686808973,0.9995006160944037,0.00024969303691550114,54.6
42.27,-83.16,3,12,10,violent,violent,0.999500636705094,True,0.0002496825589778953,0.00024968073592805256,0.999500636705094,54.6
42.27,-83.15,0,1,7,property,property,0.9970867178579172,True,0.0016332692250979933,0.9970867178579172,0.0012800129169849527,47.2
42.27,-83.15,0,2,5,violent,violent,0.9995006315201551,True,0.00024968515145689095,0.00024968332838811965,0.9995006315201551,40.8
42.27,-83.15,0,3,7,violent,violent,0.9995006315201551,True,0.00024968515145689095,0.00024968332838811965,0.9995006315201551,47.3
42.27,-83.15,0,4,8,violent,violent,0.9995006234630325,True,0.000249685149444142,0.0002496913875233103,0.9995006234630325,50.0
42.27,-83.15,0,7,10,violent,property,0.9994237546183685,False,0.000258031153359716,0.9994237546183685,0.0003182142282719124,54.6
42.27,-83.15,0,8,5,property,property,0.9995006159772878,True,0.0002496891646144917,0.9995006159772878,0.0002496948580975936,40.8
42.27,-83.15,0,9,3,violent,violent,0.9995006315201551,True,0.00024968515145689095,0.00024968332838811965,0.9995006315201551,31.5
42.27,-83.15,0,10,5,violent,violent,0.9995006234630325,True,0.000249685149444142,0.0002496913875233103,0.9995006234630325,40.8
42.27,-83.15,0,12,9,property,property,0.9995006262185424,True,0.0002496891671728996,0.9995006262185424,0.0002496846142847222,52.4
42.27,-83.15,1,2,3,property,property,0.999500621129449,True,0.00024968916590157323,0.999500621129449,0.0002496897046495452,31.5
42.27,-83.15,1,4,3,violent,violent,0.9995006315201551,True,0.00024968515145689095,0.00024968332838811965,0.9995006315201551,31.5
42.27,-83.15,1,5,3,violent,violent,0.9995006313767368,True,0.0002496852949110054,0.0002496833283522926,0.9995006313767368,31.5
42.27,-83.15,1,7,5,property,property,0.9995006211154207,True,0.00024968916589806876,0.9995006211154207,0.0002496897186812175,40.8
42.27,-83.15,1,8,3,property,property,0.999500621129449,True,0.00024968916590157323,0.999500621129449,0.0002496897046495452,31.5
42.27,-83.15,1,9,3,property,property,0.9995006176235723,True,0.00024968916502575645,0.9995006176235723,0.0002496932114019447,31.5
