lat_bin,lon_bin,time_slot,month,total_count,dominant_category,pred,conf,ok,p_violent,p_property,p_other,risk
40.64,-89.65,2,11,8,other,other,0.964,True,0.0,0.0359,0.9641,0.0
40.64,-89.65,2,12,8,other,other,0.964,True,0.0,0.0362,0.9638,0.0
40.64,-89.65,3,5,3,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.64,-89.65,3,8,7,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.64,-89.65,3,11,16,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.64,-89.63,3,9,5,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.64,-89.63,3,11,3,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.64,-89.62,1,5,3,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.65,-89.79,2,5,3,other,other,0.876,True,0.0,0.1242,0.8758,0.0
40.65,-89.69,1,10,3,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.65,-89.69,3,8,4,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.68,0,5,4,other,other,0.964,True,0.0,0.0362,0.9638,0.0
40.65,-89.68,0,6,3,other,other,0.964,True,0.0,0.0362,0.9638,0.0
40.65,-89.68,1,4,3,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.65,-89.68,1,9,8,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.65,-89.68,1,11,3,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.65,-89.68,2,5,6,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.65,-89.68,2,6,3,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.65,-89.68,2,9,5,other,other,0.964,True,0.0,0.0362,0.9638,0.0
40.65,-89.68,2,10,3,other,other,0.964,True,0.0,0.0362,0.9638,0.0
40.65,-89.68,2,11,7,violent,violent,0.979,True,0.9792,0.0,0.0208,97.9
40.65,-89.68,3,5,6,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.68,3,7,10,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.68,3,8,3,other,other,1.0,True,0.0,0.0,1.0,0.0
40.65,-89.68,3,11,5,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.65,-89.67,0,1,9,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.65,-89.67,0,5,13,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.65,-89.67,0,8,3,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.65,-89.67,1,4,3,property,other,0.876,False,0.0,0.1242,0.8758,0.0
40.65,-89.67,1,5,4,other,other,0.876,True,0.0,0.1242,0.8758,0.0
40.65,-89.67,1,6,4,other,other,0.876,True,0.0,0.1242,0.8758,0.0
40.65,-89.67,1,8,3,property,other,0.876,False,0.0,0.1242,0.8758,0.0
40.65,-89.67,1,9,7,other,other,0.876,True,0.0,0.1242,0.8758,0.0
40.65,-89.67,1,10,8,other,other,0.876,True,0.0,0.1242,0.8758,0.0
40.65,-89.67,1,12,3,other,other,0.876,True,0.0,0.1242,0.8758,0.0
40.65,-89.67,2,1,3,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.65,-89.67,2,2,4,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.65,-89.67,2,3,5,property,other,0.963,False,0.0,0.0371,0.9629,0.0
40.65,-89.67,2,4,11,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.65,-89.67,2,5,7,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.65,-89.67,2,6,3,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.65,-89.67,2,7,10,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.65,-89.67,2,8,8,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.65,-89.67,2,9,3,other,other,0.927,True,0.0,0.0734,0.9266,0.0
40.65,-89.67,2,11,7,other,other,0.963,True,0.0,0.0371,0.9629,0.0
40.65,-89.67,3,4,6,other,other,0.964,True,0.0,0.0362,0.9638,0.0
40.65,-89.67,3,5,5,violent,violent,0.979,True,0.9792,0.0,0.0208,97.9
40.65,-89.67,3,6,5,other,other,0.987,True,0.0,0.0126,0.9874,0.0
40.65,-89.67,3,7,12,other,other,0.987,True,0.0,0.0126,0.9874,0.0
