city,latitude,longitude,datetime,crime_category
Birmingham,33.54993545,-86.73513639,2023-11-29 07:30:00,property
Birmingham,33.54273622,-86.7451503,2023-11-29 00:30:00,property
Birmingham,33.54680926,-86.73110601,2023-11-28 22:00:00,property
Birmingham,33.52846776,-86.72003388,2023-11-28 19:10:00,property
Birmingham,33.53128524,-86.73917644,2023-11-28 17:30:00,violent
Birmingham,33.53907007,-86.73235652,2023-11-28 14:00:00,property
Birmingham,33.52596986,-86.72194602,2023-11-28 11:50:00,property
Birmingham,33.56079735,-86.72404702,2023-11-28 11:34:00,violent
Birmingham,33.54398492,-86.72971532,2023-11-28 09:00:00,property
Birmingham,33.55436173,-86.73186006,2023-11-28 05:50:00,property
Birmingham,33.54329169,-86.74023066,2023-11-28 05:00:00,property
Birmingham,33.55891329,-86.71891566,2023-11-27 18:07:00,violent
Birmingham,33.54032822,-86.74693344,2023-11-27 15:00:00,property
Birmingham,33.56600014,-86.71504077,2023-11-27 15:00:00,property
Birmingham,33.59973132,-86.69253549,2023-11-27 08:00:00,property
Birmingham,33.52846776,-86.72003388,2023-11-26 19:55:00,property
Birmingham,33.56391848,-86.73890981,2023-11-26 14:09:00,property
Birmingham,33.63857123,-86.72343632,2023-11-26 13:30:00,property
Birmingham,33.53589718,-86.74596914,2023-11-26 03:00:00,property
Birmingham,33.56328608,-86.72497398,2023-11-26 01:00:00,property
Birmingham,33.52642255,-86.71073175,2023-11-26 00:00:00,property
Birmingham,33.5511175,-86.73662451,2023-11-26 00:00:00,property
Birmingham,33.60519045,-86.67855722,2023-11-25 22:00:00,property
Birmingham,33.60712726,-86.71984405,2023-11-25 08:00:00,property
Birmingham,33.56027978,-86.72947374,2023-11-25 06:48:00,property
Birmingham,33.62491542,-86.70899829,2023-11-25 02:00:00,violent
Birmingham,33.55346348,-86.73262155,2023-11-25 00:15:00,property
Birmingham,33.55819351,-86.73270056,2023-11-24 17:15:00,property
Birmingham,33.55095981,-86.72356204,2023-11-24 12:00:00,property
Birmingham,33.58764648,-86.69982189,2023-11-24 12:00:00,property
Birmingham,33.52846776,-86.72003388,2023-11-24 07:00:00,property
Birmingham,33.55352259,-86.72559165,2023-11-24 03:30:00,property
Birmingham,33.54396725,-86.72300307,2023-11-24 00:00:00,property
Birmingham,33.53066364,-86.71744742,2023-11-23 22:15:00,property
Birmingham,33.52258723,-86.73577524,2023-11-23 15:00:00,property
Birmingham,33.57321005,-86.71155812,2023-11-23 13:00:00,property
Birmingham,33.54422044,-86.74092499,2023-11-23 12:30:00,property
Birmingham,33.61936835,-86.69474391,2023-11-23 10:00:00,property
Birmingham,33.63315095,-86.72076972,2023-11-23 03:36:00,violent
Birmingham,33.58661002,-86.701184,2023-11-22 20:55:00,property
Birmingham,33.58198004,-86.7111186,2023-11-22 18:40:00,property
Birmingham,33.58198004,-86.7111186,2023-11-22 18:40:00,property
Birmingham,33.52015823,-86.76161598,2023-11-22 15:00:00,property
Birmingham,33.52810929,-86.73263721,2023-11-22 10:00:00,property
Birmingham,33.59880153,-86.68791567,2023-11-22 09:30:00,property
Birmingham,33.54091763,-86.74527286,2023-11-22 08:00:00,property
Birmingham,33.59742274,-86.67385187,2023-11-22 01:25:00,property
Birmingham,33.58714657,-86.68620267,2023-11-21 23:30:00,property
Birmingham,33.59406467,-86.67729894,2023-11-21 21:45:00,property
Birmingham,33.53903913,-86.73238076,2023-11-21 21:41:00,violent
Birmingham,33.55148084,-86.72009164,2023-11-21 21:00:00,property
Birmingham,33.56035911,-86.73201097,2023-11-21 19:00:00,property
Birmingham,33.60475592,-86.69038965,2023-11-21 16:00:00,property
Birmingham,33.56466158,-86.77672384,2023-11-21 15:30:00,violent
Birmingham,33.66146932,-86.68470807,2023-11-21 09:20:00,property
Birmingham,33.62050595,-86.68640691,2023-11-21 08:00:00,property
Birmingham,33.57023563,-86.71353416,2023-11-20 22:00:00,property
Birmingham,33.55898023,-86.7487485,2023-11-20 20:10:00,property
Birmingham,33.54932789,-86.71811304,2023-11-20 15:00:00,property
Birmingham,33.58507568,-86.70004049,2023-11-20 05:30:00,property
Birmingham,33.60810798,-86.6237976,2023-11-20 01:45:00,property
Birmingham,33.61618182,-86.68445605,2023-11-19 22:00:00,violent
Birmingham,33.67237812,-86.67169993,2023-11-19 22:00:00,violent
Birmingham,33.57284351,-86.77272059,2023-11-19 18:00:00,property
Birmingham,33.51064967,-86.81552211,2023-11-19 13:00:00,property
Birmingham,33.59007893,-86.69616592,2023-11-19 12:40:00,property
Birmingham,33.59353965,-86.66589504,2023-11-19 12:05:00,property
Birmingham,33.53066364,-86.71744742,2023-11-19 01:45:00,property
Birmingham,33.56132061,-86.72233678,2023-11-19 00:18:00,property
Birmingham,33.5453454,-86.72386904,2023-11-19 00:15:00,violent
Birmingham,33.54950961,-86.74894573,2023-11-19 00:00:00,property
