city,datetime,hour,month,weekday,crime_category,latitude,longitude
Cambridge,2023-04-08 08:00:00,8,4,5,other,52.234126,0.122949
Cambridge,2023-04-22 06:00:00,6,4,5,other,52.208553,0.131887
Cambridge,2023-04-27 05:00:00,5,4,3,other,52.233099,0.114011
Cambridge,2023-04-03 23:00:00,23,4,0,other,52.197608,0.145426
Cambridge,2023-04-01 13:00:00,13,4,5,other,52.238543,0.168345
Cambridge,2023-04-03 17:00:00,17,4,0,other,52.207875,0.123658
Cambridge,2023-04-05 13:00:00,13,4,2,other,52.190083,0.152262
Cambridge,2023-04-15 04:00:00,4,4,5,other,52.207875,0.123658
Cambridge,2023-04-14 19:00:00,19,4,4,other,52.23304,0.130776
Cambridge,2023-04-03 23:00:00,23,4,0,other,52.203629,0.120719
Cambridge,2023-04-01 12:00:00,12,4,5,other,52.189686,0.186054
Cambridge,2023-04-05 00:00:00,0,4,2,other,52.212162,0.138208
Cambridge,2023-04-26 11:00:00,11,4,2,other,52.190238,0.132796
Cambridge,2023-04-23 18:00:00,18,4,6,other,52.219264,0.132298
Cambridge,2023-04-14 09:00:00,9,4,4,other,52.199572,0.143706
Cambridge,2023-04-07 23:00:00,23,4,4,other,52.211757,0.196447
Cambridge,2023-04-27 04:00:00,4,4,3,other,52.179409,0.123487
Cambridge,2023-04-09 19:00:00,19,4,6,other,52.173789,0.14934
Cambridge,2023-04-15 05:00:00,5,4,5,other,52.208553,0.131887
Cambridge,2023-04-15 11:00:00,11,4,5,other,52.206311,0.121593
Cambridge,2023-04-26 20:00:00,20,4,2,other,52.186843,0.18808
Cambridge,2023-04-10 02:00:00,2,4,0,other,52.207109,0.135185
Cambridge,2023-04-28 13:00:00,13,4,4,other,52.200861,0.137109
Cambridge,2023-04-13 20:00:00,20,4,3,other,52.224394,0.141973
Cambridge,2023-04-19 03:00:00,3,4,2,other,52.204513,0.132572
Cambridge,2023-04-07 16:00:00,16,4,4,other,52.220259,0.117002
Cambridge,2023-04-17 16:00:00,16,4,0,other,52.233721,0.119444
Cambridge,2023-04-20 13:00:00,13,4,3,other,52.221456,0.121451
Cambridge,2023-04-04 14:00:00,14,4,1,other,52.207758,0.138582
Cambridge,2023-04-05 06:00:00,6,4,2,other,52.220896,0.088351
